ID,Date,BettingEnds_EastCoastDate,BettingEnds_EastCoastTime,Sport,Favorite,Underdog,Spread
20250226NBANYKBY10,2/26/2025,19:00:00,NBA,New York Knicks,Philadelphia 76ers,10
20250227NBADENBY2.5,2/27/2025,20:00:00,NBA,Denver Nuggets,Milwaukee Bucks,2.5
